names,seqnames,start,end,LOCATION,GENEID,PRECEDEID,FOLLOWID,symbol,APM11_numCs,APM12_numCs,APM19_numCs,APM20_numCs,APM11_coverage,APM12_coverage,APM19_coverage,APM20_coverage,p.value,ratioAPM11,ratioAPM12,ratioAPM19,ratioAPM20,meanES,meanB1DMSO24h,beta
chr1_11234016,chr1,11234016,11234016,intron,109294,character(0),character(0),Prex2,29,18,60,79,118,82,73,99,3.24E-05,0.245762712,0.219512195,0.821917808,0.797979798,0.232637453,0.809948803,0.57731135
chr1_112380022,chr1,112380022,112380022,intergenic,NA,character(0),319901,NA,14,10,58,65,180,136,90,125,9.50E-05,0.077777778,0.073529412,0.644444444,0.52,0.075653595,0.582222222,0.506568627
chr1_11395793,chr1,11395793,11395793,intergenic,NA,320492,"c(""109294"", ""329093"")",NA,6,5,27,43,104,67,45,75,6.19E-05,0.057692308,0.074626866,0.6,0.573333333,0.066159587,0.586666667,0.52050708
chr1_119443489,chr1,119443489,119443489,intergenic,NA,"c(""13167"", ""170706"", ""19258"", ""226351"", ""226352"", ""226356"", ""226359"", ""319229"", ""320069"", ""64143"", ""66343"", ""68428"", ""73103"")","c(""102465176"", ""14633"", ""16324"", ""68204"", ""76707"", ""81879"")",NA,3,2,26,46,98,70,50,98,6.33E-05,0.030612245,0.028571429,0.52,0.469387755,0.029591837,0.494693878,0.465102041
chr1_119443588,chr1,119443588,119443588,intergenic,NA,"c(""13167"", ""170706"", ""19258"", ""226351"", ""226352"", ""226356"", ""226359"", ""319229"", ""320069"", ""64143"", ""66343"", ""68428"", ""73103"")","c(""102465176"", ""14633"", ""16324"", ""68204"", ""76707"", ""81879"")",NA,5,3,19,38,89,67,36,70,8.39E-05,0.056179775,0.044776119,0.527777778,0.542857143,0.050477947,0.53531746,0.484839513
chr1_128094447,chr1,128094447,128094447,intron,226409,character(0),character(0),Zranb3,1,3,35,67,151,109,91,168,7.81E-05,0.006622517,0.027522936,0.384615385,0.398809524,0.017072726,0.391712454,0.374639728
chr1_128094477,chr1,128094477,128094477,intron,226409,character(0),character(0),Zranb3,4,3,42,68,142,108,85,150,2.86E-05,0.028169014,0.027777778,0.494117647,0.453333333,0.027973396,0.47372549,0.445752094
chr1_136598630,chr1,136598630,136598630,intergenic,NA,"c(""100503460"", ""100503474"", ""226442"", ""26424"")","c(""12292"", ""13007"", ""16565"", ""16763"", ""18772"", ""215690"", ""215714"", ""21952"", ""21956"", ""226438"", ""226439"", ""27280"", ""320054"", ""329253"", ""381293"", ""383563"", ""66241"", ""67313"", ""67886"", ""67997"", ""76422"")",NA,4,2,24,45,122,91,66,122,8.05E-05,0.032786885,0.021978022,0.363636364,0.368852459,0.027382454,0.366244411,0.338861958
chr1_139423408,chr1,139423408,139423408,coding,226470,character(0),character(0),Zbtb41,8,8,33,59,92,75,55,99,5.79E-05,0.086956522,0.106666667,0.6,0.595959596,0.096811594,0.597979798,0.501168204
chr1_139423408,chr1,139423408,139423408,fiveUTR,226470,character(0),character(0),Zbtb41,8,8,33,59,92,75,55,99,5.79E-05,0.086956522,0.106666667,0.6,0.595959596,0.096811594,0.597979798,0.501168204
chr1_14051996,chr1,14051996,14051996,intergenic,NA,"c(""14048"", ""17681"", ""277328"")","c(""17978"", ""212442"", ""381246"", ""383491"", ""433273"", ""72265"")",NA,156,117,188,291,389,287,300,448,8.68E-05,0.401028278,0.407665505,0.626666667,0.649553571,0.404346891,0.638110119,0.233763228
chr1_17091549,chr1,17091549,17091549,coding,57339,character(0),character(0),Jph1,15,12,45,50,93,57,54,66,9.81E-05,0.161290323,0.210526316,0.833333333,0.757575758,0.185908319,0.795454545,0.609546226
chr1_17091569,chr1,17091569,17091569,coding,57339,character(0),character(0),Jph1,18,8,38,47,104,61,57,72,9.26E-05,0.173076923,0.131147541,0.666666667,0.652777778,0.152112232,0.659722222,0.50760999
chr1_171063787,chr1,171063787,171063787,intergenic,NA,"c(""102465784"", ""102466998"", ""102638632"", ""11807"", ""12355"", ""12506"", ""12523"", ""14127"", ""16429"", ""16456"", ""17085"", ""17528"", ""18071"", ""18106"", ""18637"", ""19044"", ""21945"", ""22278"", ""226646"", ""226652"", ""226654"", ""240913"", ""27045"", ""27218"", ""30925"", ""30941"", ""56009"", ""57370"", ""641376"", ""66052"", ""66155"", ""66425"", ""68874"", ""71740"", ""75345"", ""75472"", ""93840"")","c(""107652"", ""14130"", ""14131"", ""16589"", ""18214"", ""226641"", ""246256"", ""26904"", ""320078"", ""435653"", ""545378"", ""665574"", ""70729"", ""76925"", ""80915"", ""98752"")",NA,11,12,41,70,254,202,143,240,7.25E-05,0.043307087,0.059405941,0.286713287,0.291666667,0.051356514,0.289189977,0.237833463
chr1_171063791,chr1,171063791,171063791,intergenic,NA,"c(""102465784"", ""102466998"", ""102638632"", ""11807"", ""12355"", ""12506"", ""12523"", ""14127"", ""16429"", ""16456"", ""17085"", ""17528"", ""18071"", ""18106"", ""18637"", ""19044"", ""21945"", ""22278"", ""226646"", ""226652"", ""226654"", ""240913"", ""27045"", ""27218"", ""30925"", ""30941"", ""56009"", ""57370"", ""641376"", ""66052"", ""66155"", ""66425"", ""68874"", ""71740"", ""75345"", ""75472"", ""93840"")","c(""107652"", ""14130"", ""14131"", ""16589"", ""18214"", ""226641"", ""246256"", ""26904"", ""320078"", ""435653"", ""545378"", ""665574"", ""70729"", ""76925"", ""80915"", ""98752"")",NA,25,15,49,92,254,201,142,243,8.75E-05,0.098425197,0.074626866,0.345070423,0.378600823,0.086526031,0.361835623,0.275309592
chr1_171063794,chr1,171063794,171063794,intergenic,NA,"c(""102465784"", ""102466998"", ""102638632"", ""11807"", ""12355"", ""12506"", ""12523"", ""14127"", ""16429"", ""16456"", ""17085"", ""17528"", ""18071"", ""18106"", ""18637"", ""19044"", ""21945"", ""22278"", ""226646"", ""226652"", ""226654"", ""240913"", ""27045"", ""27218"", ""30925"", ""30941"", ""56009"", ""57370"", ""641376"", ""66052"", ""66155"", ""66425"", ""68874"", ""71740"", ""75345"", ""75472"", ""93840"")","c(""107652"", ""14130"", ""14131"", ""16589"", ""18214"", ""226641"", ""246256"", ""26904"", ""320078"", ""435653"", ""545378"", ""665574"", ""70729"", ""76925"", ""80915"", ""98752"")",NA,13,12,45,66,255,199,142,242,9.44E-05,0.050980392,0.060301508,0.316901408,0.272727273,0.05564095,0.294814341,0.239173391
chr1_171069834,chr1,171069834,171069834,intergenic,NA,"c(""102465784"", ""102638632"", ""11807"", ""12355"", ""12506"", ""12523"", ""14127"", ""16429"", ""16456"", ""17085"", ""17528"", ""18071"", ""18106"", ""18637"", ""19044"", ""21945"", ""22278"", ""226646"", ""226652"", ""226654"", ""240913"", ""27045"", ""27218"", ""30925"", ""30941"", ""56009"", ""57370"", ""59287"", ""641376"", ""66052"", ""66155"", ""66425"", ""68874"", ""71740"", ""75345"", ""75472"", ""93840"")","c(""102466998"", ""107652"", ""14130"", ""14131"", ""16589"", ""18214"", ""226641"", ""246256"", ""26904"", ""320078"", ""435653"", ""545378"", ""665574"", ""70729"", ""76925"", ""80915"", ""98752"")",NA,44,30,91,134,637,382,379,615,7.36E-05,0.069073783,0.078534031,0.240105541,0.217886179,0.073803907,0.22899586,0.155191952
chr1_171070005,chr1,171070005,171070005,intergenic,NA,"c(""102465784"", ""102638632"", ""11807"", ""12355"", ""12506"", ""12523"", ""14127"", ""16429"", ""16456"", ""17085"", ""17528"", ""18071"", ""18106"", ""18637"", ""19044"", ""21945"", ""22278"", ""226646"", ""226652"", ""226654"", ""240913"", ""27045"", ""27218"", ""30925"", ""30941"", ""56009"", ""57370"", ""59287"", ""641376"", ""66052"", ""66155"", ""66425"", ""68874"", ""71740"", ""75345"", ""75472"", ""93840"")","c(""102466998"", ""107652"", ""14130"", ""14131"", ""16589"", ""18214"", ""226641"", ""246256"", ""26904"", ""320078"", ""435653"", ""545378"", ""665574"", ""70729"", ""76925"", ""80915"", ""98752"")",NA,23,14,56,93,388,280,268,436,8.49E-05,0.059278351,0.05,0.208955224,0.213302752,0.054639175,0.211128988,0.156489813
chr1_171070048,chr1,171070048,171070048,intergenic,NA,"c(""102465784"", ""102638632"", ""11807"", ""12355"", ""12506"", ""12523"", ""14127"", ""16429"", ""16456"", ""17085"", ""17528"", ""18071"", ""18106"", ""18637"", ""19044"", ""21945"", ""22278"", ""226646"", ""226652"", ""226654"", ""240913"", ""27045"", ""27218"", ""30925"", ""30941"", ""56009"", ""57370"", ""59287"", ""641376"", ""66052"", ""66155"", ""66425"", ""68874"", ""71740"", ""75345"", ""75472"", ""93840"")","c(""102466998"", ""107652"", ""14130"", ""14131"", ""16589"", ""18214"", ""226641"", ""246256"", ""26904"", ""320078"", ""435653"", ""545378"", ""665574"", ""70729"", ""76925"", ""80915"", ""98752"")",NA,60,42,125,195,468,338,310,513,2.19E-05,0.128205128,0.124260355,0.403225806,0.380116959,0.126232742,0.391671383,0.265438641
chr1_171070096,chr1,171070096,171070096,intergenic,NA,"c(""102465784"", ""102638632"", ""11807"", ""12355"", ""12506"", ""12523"", ""14127"", ""16429"", ""16456"", ""17085"", ""17528"", ""18071"", ""18106"", ""18637"", ""19044"", ""21945"", ""22278"", ""226646"", ""226652"", ""226654"", ""240913"", ""27045"", ""27218"", ""30925"", ""30941"", ""56009"", ""57370"", ""59287"", ""641376"", ""66052"", ""66155"", ""66425"", ""68874"", ""71740"", ""75345"", ""75472"", ""93840"")","c(""102466998"", ""107652"", ""14130"", ""14131"", ""16589"", ""18214"", ""226641"", ""246256"", ""26904"", ""320078"", ""435653"", ""545378"", ""665574"", ""70729"", ""76925"", ""80915"", ""98752"")",NA,38,27,88,142,478,358,310,518,3.08E-05,0.079497908,0.075418994,0.283870968,0.274131274,0.077458451,0.279001121,0.20154267
